Date,Shares
2025-02-15,100614000
2025-02-19,104265000
2025-02-21,104265000
2025-02-22,104265000
2025-02-25,104265000
2025-02-26,104265000
2025-02-28,104265000
2025-03-03,104265000
2025-03-04,104265000
2025-03-04,119864000
2025-03-05,104265000
2025-03-06,104265000
2025-03-07,104265000
2025-03-11,104265000
2025-03-11,115509000
2025-03-14,104265000
2025-03-15,105736000
2025-03-18,105736000
2025-03-22,105736000
2025-03-25,105736000
2025-03-26,105736000
2025-03-27,110842000
2025-03-27,105736000
2025-03-28,105736000
2025-03-29,105736000
2025-04-01,111197000
2025-04-01,105736000
2025-04-02,105736000
2025-04-05,105736000
2025-04-09,105736000
2025-04-10,113225000
2025-04-10,105736000
2025-04-11,105736000
2025-04-12,105736000
2025-04-15,105736000
2025-04-16,105736000
2025-04-17,105736000
2025-04-18,105736000
2025-04-22,117633000
2025-04-23,127725000
2025-04-24,127725000
2025-04-26,142978000
2025-04-29,133464000
2025-04-30,133464000
2025-05-01,133464000
2025-05-02,133464000
2025-05-03,133464000
2025-05-06,133464000
2025-05-07,134716000
2025-05-07,133464000
2025-05-09,133464000
2025-05-10,137983008
2025-05-10,133464000
2025-05-13,133464000
2025-05-15,133464000
2025-05-20,137427008
2025-05-22,137427008
2025-05-23,137427008
2025-05-24,137427008
2025-05-27,137427008
2025-05-28,137427008
2025-05-29,137427008
2025-06-03,137427008
2025-06-04,137427008
2025-06-05,137427008
2025-06-06,152696000
2025-06-06,137427008
2025-06-10,137427008
2025-06-10,139063008
2025-06-11,151892000
2025-06-11,137427008
2025-06-12,137427008
2025-06-13,152360992
2025-06-14,179560992
2025-06-17,179560992
2025-06-17,193372992
2025-06-18,180719008
2025-06-18,179560992
2025-06-18,194524000
2025-06-19,179560992
2025-06-24,179560992
2025-06-25,179560992
2025-06-27,179560992
2025-06-28,179560992
2025-07-02,179560992
2025-07-03,179560992
2025-07-08,179560992
2025-07-08,189820992
2025-07-09,179560992
2025-07-10,179560992
2025-07-11,179560992
2025-07-11,196151008
2025-07-12,179560992
2025-07-15,179560992
2025-07-17,179560992
2025-07-19,179560992
2025-07-23,179560992
2025-07-24,179560992
2025-07-25,179560992
2025-07-29,179560992
2025-07-31,179560992
2025-08-02,179560992
2025-08-05,179560992
2025-08-07,179560992
2025-08-08,179560992
2025-08-08,183980992
2025-08-12,179560992
2025-08-13,179560992
2025-08-14,219178000
2025-08-15,265338000
2025-08-16,272262016
2025-08-19,274499008
2025-08-21,274499008
2025-08-23,274499008
2025-08-27,274499008
2025-08-30,274499008
2025-09-05,274499008
2025-09-09,279577984
2025-09-11,320940992
2025-09-12,326940992
2025-09-16,326940992
2025-09-17,326940992
2025-09-17,326940764
2025-09-18,326940764
2025-09-20,326940764
2025-09-24,326940764
2025-09-26,330782105
2025-09-27,326940764
2025-10-02,326940764
2025-10-02,351986842
2025-10-02,342594563
2025-10-03,326940764
2025-10-08,329570176
2025-10-09,349130176
2025-10-10,349130176
2025-10-11,349130176
2025-10-15,349130176
2025-10-15,362545361
2025-10-16,349130176
2025-10-17,349130176
2025-10-21,349151926
2025-10-22,369524428
2025-10-23,349151926
2025-10-24,349151926
2025-10-25,349151926
2025-10-28,349151926
2025-10-28,387203830
2025-10-29,349151926
2025-10-31,368449835
2025-11-07,368449835
2025-11-08,368449835
2025-11-11,368449835
2025-11-12,368449835
2025-11-13,368449835
2025-11-15,368449835
2025-11-17,368449835
2025-11-18,368459664
2025-11-19,372556464
2025-12-18,374358943
2025-12-19,379658425
2026-01-07,380763481
2026-01-10,385649156
2026-01-13,404766027
2026-01-23,422576504
2026-01-24,424199111
2026-01-24,424199112
2026-02-14,450092051
2026-03-17,450191610
2026-03-21,463325947
2026-03-24,467131182
2026-03-27,467133265
2026-03-30,469061798
2026-04-03,481737783
2026-04-06,481837329
2026-04-14,481883390
